X,Y,OBJECTID,PORTFOLIO_MANAGER_ID,STREET_ADDRESS,PROPERTY_NAME,PHILADELPHIA_BUILDING_ID,POSTAL_CODE,NUM_OF_BUILDINGS,YEAR_BUILT,PRIMARY_PROP_TYPE_EPA_CALC,TOTAL_FLOOR_AREA_BLD_PK_FT2,ELECTRICITY_USE_KBTU,NATURAL_GAS_USE_KBTU,FUEL_OIL_02_USE_KBTU,STEAM_USE_KBTU,ENERGY_STAR_SCORE,SITE_EUI_KBTUFT2,SOURCE_EUI_KBTUFT2,WATER_USE_ALL_KGAL,WATER_SCORE,TOTAL_GHG_EMISSIONS_MTCO2E,NOTES,X_COORD,Y_COORD
-75.1731707499999,39.9559483800001,1,3774261,100 N 20TH ST,120 N. 20th Street,883066000,19106,1,1981,Office,89150,3951010.7,750995.5686,,,85,52.7,132.9,1413.5,,440.2,,-75.17317075,39.95594838
-75.15103898,39.95026876,2,5705392,100 S INDEPENDENCE W ML,100 Independence- DOW Building,883013010,19106,1,1965,Office,415482,16585714.94,10259470.51,,3699357.8,55,73.5,148.4,5642.6,,2470.9,,-75.15103898,39.95026876
-75.16443644,39.95052643,3,3679592,100 SOUTH BROAD ST,Land Title Building,883336000,19110,1,1890,Office,365000,17545418.42,11147780.52,,,56,78.6,166.7,7191.4,,2271.4,,-75.16443644,39.95052643
-75.15008877,39.9833764,4,4134811,1000 DIAMOND ST,Diamond Green,881147275,19122,1,2012,Multifamily Housing,129330,5213617.888,1628914.891,,,83,52.9,126.1,5040.8,87,614.7,,-75.15008877,39.9833764
-75.1101230199999,40.00160487,5,6385296,1000 E VENANGO ST,U All No LLC,884107500,19134,1,1910,Other,90132,1752720.175,2514805.011,,,,47.3,83.7,296.6,,311.1,,-75.11012302,40.00160487
-74.95932501,40.09283456,6,3782624,1000 FRANKLIN MILLS CIR,Sam's Club #18-6332,882693100,19154,0,2000,Wholesale Club/Supercenter,133000,11336103.86,5776516.363,,,6,128.7,284.3,2436.8,,1455.3,,-74.95932501,40.09283456
-75.1675188299999,39.93860812,7,11420947,1000 S BROAD ST,Lincoln Square,881111438,19146,1,2018,Multifamily Housing,339779,17414209.96,3727464.499,,,,62.2,155,5278.3,,1962.2,,-75.16751883,39.93860812
-75.13888349,40.03653583,8,3875829,1000 W TABOR RD,Grata Data Center,776012000,19141,1,1962,Data Center,41740,7498327.208,185873.8778,,,,184.1,507.7,569.9,,727.5,,-75.13888349,40.03653583
-75.03501181,40.10779054,9,10836518,10001 SANDMEYER LN,sandmeyer steel company,884238000,19116,2,1950,Manufacturing/Industrial Plant,60000,10520823.52,13877675.95,,,,406.6,733.8,569.3,,1803,,-75.03501181,40.10779054
-75.1582483299999,39.9482361,10,7058350,1000-28 WALNUT ST,Orlowitz Building,881008255,19107,1,1967,Residence Hall/Dormitory,206891,2494439.501,,,5669111.8,94,39.5,66.7,5114.4,,629.1,,-75.15824833,39.9482361
