X,Y,OBJECTID,PORTFOLIO_MANAGER_ID,ADDRESS,PROPERTY_NAME,PHILADELPHIA_BUILDING_ID,POSTAL_CODE,NUM_OF_BUILDINGS,YEAR_BUILT,PRIMARY_PROP_TYPE_EPA_CALC,ELECTRIC_USE_KBTU,NATURAL_GAS_USE_KBTU,FUEL_OIL_02_USE_KBTU,STEAM_USE_KBTU,ENERGY_STAR_SCORE,SITE_EUI_KBTUFT2,SOURCE_EUI_KBTUFT2,WATER_USE_ALL_KGAL,TOTAL_GHG_EMISSIONS_MTCO2E,WATER_SCORE,Y_COORD,X_COORD,TOTAL_FLOOR_AREA_BLD_PK_FT2
-75.1744813957206,39.9542812109848,1,16288,2005 Market Street,One Commerce Square (JV),883054371,19103,1,1987,Office,60285570.3,,,,51,60.7,170,14151.2,5597.7,,39.95427315,-75.17447962,1078717
-75.1710685115118,39.9537167920651,2,19331,1835 Market Street,1835 Market Street,883104005,19103,1,1986,Office,28698158,,,28701176.8,68,83.6,167.3,7046.4,4570.4,,39.95370873,-75.17106674,751503
-75.1703698336796,39.9536268710627,3,26081,1801 Market Street,12589 Ten Penn Center,883054000,19103,1,1981,Office,22063319.3,,,8273564.9,76,42.1,99.4,4151.8,2598,,39.95361881,-75.17036806,721408
-75.1688973158041,39.9556173449262,4,1218039,1717 Arch Street,Three Logan Square (WO),883059004,19103,1,1990,Office,52043679.6,,,24668316.5,76,63,143.9,10900.2,6470.4,,39.95560928,-75.16889554,1377698
-75.1493200102413,39.9470862682506,5,1211433,436 Walnut Street,CHUBB Philadelphia,883300400,19106,1,1925,Office,14880479.2,5892678.2,,,78,61.7,142.2,2219.8,1694.7,,39.9470782,-75.14931824,350577
-75.0265291599734,40.1006398123278,6,1260382,920 Red Lion Road,"07747- Philadelphia, PA",882875620,19115,1,1997,Supermarket/Grocery Store,8217184.4,5745599.6,,,77,193.8,403.1,568,1021.1,,40.10063171,-75.02652742,72048
-75.1893134805359,39.9434222687456,7,1273629,830 Schuylkill Avenue,PECO Christian Street Service Center,772607000,19146,1,1951,Office,4854832.4,,,,30,68.7,192.4,0.2,450.8,,39.94341421,-75.1893117,70644
-75.1785184644217,39.9547820601677,8,1269439,2301 Market Street,PECO MAIN OFFICE BUILDING,883054500,19103,1,1971,Office,57230226.6,,,3258895.9,54,69.5,188.5,11.4,5530.4,,39.95477399,-75.17851669,897201
-75.2391453851768,40.0636612493294,9,1296342,8500 Henry Avenue,10274-Andorra - Solar,882116500,19128,1,1997,Retail Store,1678185.4,700000,,,97,28.7,60.5,309,193,,40.06365316,-75.23914358,82784
-75.1802444524687,39.9172711842984,10,1260775,1901 Johnston Street,04715 - Philly,882351850,19145,1,2003,Supermarket/Grocery Store,7136392.5,4119900,,,62,227.3,490.9,943,840.6,,39.91726313,-75.18024268,49514
